      Lon      Lat    Year    TeWW    TeSW   TeWWi   TeSWi
    41.75    60.75    1980   0.960   0.958   0.960   0.958
    41.75    60.75    1981   0.922   0.920   0.926   0.928
    41.75    60.75    1982   0.961   0.957   0.965   0.961
    41.75    60.75    1983   0.954   0.953   0.954   0.953
    41.75    60.75    1984   0.937   0.942   0.937   0.942
    41.75    60.75    1985   0.966   0.966   0.966   0.966
    41.75    60.75    1986   0.956   0.954   0.956   0.954
    41.75    60.75    1987   0.962   0.961   0.962   0.961
    41.75    60.75    1988   0.935   0.935   0.935   0.935
    41.75    60.75    1989   0.913   0.915   0.913   0.915
    41.75    60.75    1990   0.965   0.956   0.965   0.956
    41.75    60.75    1991   0.950   0.951   0.952   0.953
    41.75    60.75    1992   0.957   0.957   0.963   0.962
    41.75    60.75    1993   0.966   0.958   0.966   0.958
    41.75    60.75    1994   0.958   0.957   0.962   0.960
    41.75    60.75    1995   0.908   0.929   0.908   0.930
    41.75    60.75    1996   0.965   0.964   0.966   0.965
    41.75    60.75    1997   0.938   0.939   0.952   0.950
    41.75    60.75    1998   0.954   0.955   0.954   0.955
    41.75    60.75    1999   0.895   0.917   0.909   0.926
    41.75    60.75    2000   0.947   0.952   0.953   0.955
    41.75    60.75    2001   0.944   0.948   0.961   0.960
    41.75    60.75    2002   0.956   0.958   0.960   0.960
    41.75    60.75    2003   0.955   0.955   0.963   0.960
    41.75    60.75    2004   0.963   0.964   0.967   0.966
    41.75    60.75    2005   0.954   0.955   0.958   0.958
    41.75    60.75    2006   0.961   0.960   0.963   0.962
    41.75    60.75    2007   0.966   0.964   0.967   0.965
    41.75    60.75    2008   0.967   0.954   0.967   0.954
    41.75    60.75    2009   0.962   0.962   0.963   0.963
    41.75    60.75    2010   0.900   0.862   0.917   0.912
   142.25   -20.25    1980   0.514   0.466   0.731   0.615
   142.25   -20.25    1981   0.532   0.474   0.667   0.581
   142.25   -20.25    1982   0.524   0.477   0.708   0.614
   142.25   -20.25    1983   0.498   0.466   0.736   0.608
   142.25   -20.25    1984   0.524   0.475   0.760   0.586
   142.25   -20.25    1985   0.504   0.465   0.875   0.630
   142.25   -20.25    1986   0.481   0.451   0.764   0.621
   142.25   -20.25    1987   0.505   0.463   0.738   0.629
   142.25   -20.25    1988   0.500   0.462   0.799   0.671
   142.25   -20.25    1989   0.539   0.489   0.668   0.592
   142.25   -20.25    1990   0.494   0.469   0.827   0.664
   142.25   -20.25    1991   0.522   0.488   0.897   0.699
   142.25   -20.25    1992   0.497   0.457   0.772   0.655
   142.25   -20.25    1993   0.541   0.481   0.721   0.600
   142.25   -20.25    1994   0.499   0.462   0.696   0.597
   142.25   -20.25    1995   0.506   0.461   0.846   0.707
   142.25   -20.25    1996   0.528   0.472   0.773   0.647
   142.25   -20.25    1997   0.538   0.497   0.862   0.716
   142.25   -20.25    1998   0.579   0.513   0.861   0.738
   142.25   -20.25    1999   0.595   0.520   0.902   0.675
   142.25   -20.25    2000   0.591   0.525   0.852   0.698
   142.25   -20.25    2001   0.561   0.501   0.896   0.794
   142.25   -20.25    2002   0.504   0.457   0.918   0.818
   142.25   -20.25    2003   0.548   0.495   0.840   0.711
   142.25   -20.25    2004   0.536   0.478   0.813   0.691
   142.25   -20.25    2005   0.509   0.460   0.912   0.829
   142.25   -20.25    2006   0.597   0.520   0.858   0.745
   142.25   -20.25    2007   0.570   0.497   0.874   0.768
   142.25   -20.25    2008   0.537   0.485   0.951   0.756
   142.25   -20.25    2009   0.644   0.535   0.907   0.832
   142.25   -20.25    2010   0.629   0.548   0.844   0.688
