      Lon      Lat    Year    TeWW    TeSW   TeWWi   TeSWi
    41.75    60.75    1980   0.210   0.254   0.211   0.257
    41.75    60.75    1981   0.162   0.221   0.174   0.239
    41.75    60.75    1982   0.236   0.276   0.252   0.291
    41.75    60.75    1983   0.227   0.279   0.228   0.280
    41.75    60.75    1984   0.182   0.266   0.183   0.268
    41.75    60.75    1985   0.233   0.294   0.234   0.294
    41.75    60.75    1986   0.209   0.256   0.211   0.258
    41.75    60.75    1987   0.205   0.253   0.205   0.253
    41.75    60.75    1988   0.197   0.253   0.200   0.255
    41.75    60.75    1989   0.198   0.269   0.200   0.271
    41.75    60.75    1990   0.255   0.286   0.256   0.286
    41.75    60.75    1991   0.228   0.277   0.236   0.284
    41.75    60.75    1992   0.262   0.307   0.284   0.330
    41.75    60.75    1993   0.286   0.331   0.286   0.331
    41.75    60.75    1994   0.256   0.285   0.273   0.300
    41.75    60.75    1995   0.168   0.234   0.170   0.242
    41.75    60.75    1996   0.272   0.324   0.273   0.328
    41.75    60.75    1997   0.218   0.262   0.246   0.288
    41.75    60.75    1998   0.245   0.305   0.246   0.305
    41.75    60.75    1999   0.186   0.253   0.206   0.282
    41.75    60.75    2000   0.206   0.290   0.225   0.313
    41.75    60.75    2001   0.248   0.310   0.304   0.362
    41.75    60.75    2002   0.265   0.329   0.290   0.355
    41.75    60.75    2003   0.241   0.292   0.278   0.323
    41.75    60.75    2004   0.281   0.330   0.310   0.355
    41.75    60.75    2005   0.248   0.319   0.268   0.341
    41.75    60.75    2006   0.281   0.322   0.296   0.337
    41.75    60.75    2007   0.294   0.360   0.303   0.372
    41.75    60.75    2008   0.317   0.360   0.317   0.360
    41.75    60.75    2009   0.307   0.357   0.313   0.362
    41.75    60.75    2010   0.171   0.224   0.201   0.293
   142.25   -20.25    1980   0.068   0.044   0.277   0.286
   142.25   -20.25    1981   0.067   0.042   0.223   0.233
   142.25   -20.25    1982   0.054   0.037   0.253   0.249
   142.25   -20.25    1983   0.043   0.030   0.199   0.213
   142.25   -20.25    1984   0.071   0.050   0.220   0.241
   142.25   -20.25    1985   0.047   0.030   0.175   0.228
   142.25   -20.25    1986   0.038   0.019   0.244   0.234
   142.25   -20.25    1987   0.050   0.033   0.245   0.225
   142.25   -20.25    1988   0.037   0.025   0.205   0.223
   142.25   -20.25    1989   0.070   0.057   0.223   0.219
   142.25   -20.25    1990   0.075   0.064   0.222   0.256
   142.25   -20.25    1991   0.063   0.043   0.118   0.203
   142.25   -20.25    1992   0.052   0.037   0.222   0.249
   142.25   -20.25    1993   0.081   0.063   0.282   0.270
   142.25   -20.25    1994   0.058   0.040   0.271   0.260
   142.25   -20.25    1995   0.060   0.038   0.207   0.240
   142.25   -20.25    1996   0.076   0.049   0.268   0.275
   142.25   -20.25    1997   0.083   0.068   0.250   0.269
   142.25   -20.25    1998   0.096   0.076   0.244   0.283
   142.25   -20.25    1999   0.103   0.088   0.253   0.298
   142.25   -20.25    2000   0.132   0.119   0.289   0.320
   142.25   -20.25    2001   0.131   0.111   0.304   0.325
   142.25   -20.25    2002   0.070   0.043   0.228   0.272
   142.25   -20.25    2003   0.072   0.057   0.225   0.257
   142.25   -20.25    2004   0.086   0.059   0.265   0.289
   142.25   -20.25    2005   0.077   0.043   0.190   0.226
   142.25   -20.25    2006   0.101   0.083   0.256   0.278
   142.25   -20.25    2007   0.109   0.083   0.224   0.256
   142.25   -20.25    2008   0.108   0.088   0.162   0.299
   142.25   -20.25    2009   0.153   0.124   0.235   0.258
   142.25   -20.25    2010   0.151   0.134   0.310   0.320
