      Lon      Lat    Year    TeWW    TeSW   TeWWi   TeSWi
    41.75    60.75    1980   0.194   0.226   0.194   0.226
    41.75    60.75    1981   0.137   0.181   0.140   0.184
    41.75    60.75    1982   0.246   0.280   0.256   0.287
    41.75    60.75    1983   0.199   0.229   0.199   0.229
    41.75    60.75    1984   0.154   0.204   0.154   0.204
    41.75    60.75    1985   0.216   0.260   0.216   0.260
    41.75    60.75    1986   0.193   0.219   0.193   0.219
    41.75    60.75    1987   0.185   0.221   0.185   0.221
    41.75    60.75    1988   0.160   0.192   0.160   0.192
    41.75    60.75    1989   0.157   0.189   0.157   0.189
    41.75    60.75    1990   0.235   0.258   0.235   0.258
    41.75    60.75    1991   0.203   0.223   0.205   0.224
    41.75    60.75    1992   0.254   0.281   0.264   0.289
    41.75    60.75    1993   0.274   0.296   0.274   0.296
    41.75    60.75    1994   0.252   0.267   0.261   0.274
    41.75    60.75    1995   0.138   0.183   0.138   0.183
    41.75    60.75    1996   0.262   0.301   0.264   0.305
    41.75    60.75    1997   0.209   0.239   0.221   0.249
    41.75    60.75    1998   0.208   0.248   0.208   0.248
    41.75    60.75    1999   0.158   0.212   0.163   0.217
    41.75    60.75    2000   0.183   0.241   0.191   0.247
    41.75    60.75    2001   0.236   0.289   0.272   0.315
    41.75    60.75    2002   0.261   0.303   0.271   0.309
    41.75    60.75    2003   0.225   0.254   0.246   0.265
    41.75    60.75    2004   0.278   0.307   0.295   0.318
    41.75    60.75    2005   0.227   0.272   0.235   0.277
    41.75    60.75    2006   0.262   0.280   0.267   0.283
    41.75    60.75    2007   0.263   0.296   0.269   0.301
    41.75    60.75    2008   0.304   0.346   0.304   0.346
    41.75    60.75    2009   0.281   0.315   0.282   0.316
    41.75    60.75    2010   0.149   0.172   0.159   0.197
   142.25   -20.25    1980   0.035   0.027   0.186   0.125
   142.25   -20.25    1981   0.044   0.032   0.165   0.103
   142.25   -20.25    1982   0.030   0.022   0.167   0.108
   142.25   -20.25    1983   0.029   0.021   0.151   0.093
   142.25   -20.25    1984   0.040   0.028   0.229   0.109
   142.25   -20.25    1985   0.033   0.024   0.252   0.116
   142.25   -20.25    1986   0.020   0.014   0.187   0.122
   142.25   -20.25    1987   0.029   0.021   0.168   0.114
   142.25   -20.25    1988   0.024   0.016   0.200   0.123
   142.25   -20.25    1989   0.048   0.037   0.149   0.100
   142.25   -20.25    1990   0.049   0.036   0.239   0.153
   142.25   -20.25    1991   0.033   0.023   0.391   0.179
   142.25   -20.25    1992   0.033   0.025   0.217   0.141
   142.25   -20.25    1993   0.047   0.035   0.207   0.127
   142.25   -20.25    1994   0.032   0.025   0.164   0.102
   142.25   -20.25    1995   0.032   0.024   0.277   0.183
   142.25   -20.25    1996   0.039   0.028   0.236   0.149
   142.25   -20.25    1997   0.049   0.038   0.308   0.197
   142.25   -20.25    1998   0.062   0.047   0.304   0.203
   142.25   -20.25    1999   0.069   0.052   0.344   0.158
   142.25   -20.25    2000   0.090   0.069   0.329   0.208
   142.25   -20.25    2001   0.073   0.057   0.410   0.277
   142.25   -20.25    2002   0.035   0.025   0.404   0.253
   142.25   -20.25    2003   0.047   0.036   0.297   0.189
   142.25   -20.25    2004   0.047   0.036   0.295   0.195
   142.25   -20.25    2005   0.038   0.028   0.432   0.302
   142.25   -20.25    2006   0.073   0.054   0.296   0.204
   142.25   -20.25    2007   0.065   0.049   0.420   0.285
   142.25   -20.25    2008   0.062   0.048   0.597   0.257
   142.25   -20.25    2009   0.102   0.079   0.507   0.342
   142.25   -20.25    2010   0.113   0.088   0.392   0.239
