      Lon      Lat    Year    TeWW    TeSW   TeWWi   TeSWi
    41.75    60.75    1980   0.958   0.957   0.958   0.957
    41.75    60.75    1981   0.912   0.913   0.918   0.921
    41.75    60.75    1982   0.959   0.955   0.964   0.959
    41.75    60.75    1983   0.950   0.950   0.950   0.950
    41.75    60.75    1984   0.931   0.938   0.931   0.938
    41.75    60.75    1985   0.965   0.965   0.965   0.965
    41.75    60.75    1986   0.954   0.953   0.954   0.953
    41.75    60.75    1987   0.961   0.961   0.961   0.961
    41.75    60.75    1988   0.930   0.929   0.930   0.929
    41.75    60.75    1989   0.903   0.905   0.903   0.905
    41.75    60.75    1990   0.964   0.955   0.964   0.955
    41.75    60.75    1991   0.945   0.946   0.948   0.948
    41.75    60.75    1992   0.956   0.956   0.962   0.961
    41.75    60.75    1993   0.966   0.958   0.966   0.958
    41.75    60.75    1994   0.956   0.954   0.961   0.959
    41.75    60.75    1995   0.904   0.925   0.904   0.925
    41.75    60.75    1996   0.964   0.963   0.965   0.964
    41.75    60.75    1997   0.932   0.934   0.950   0.946
    41.75    60.75    1998   0.953   0.953   0.953   0.953
    41.75    60.75    1999   0.883   0.913   0.900   0.921
    41.75    60.75    2000   0.944   0.950   0.951   0.954
    41.75    60.75    2001   0.938   0.944   0.960   0.958
    41.75    60.75    2002   0.955   0.957   0.959   0.959
    41.75    60.75    2003   0.953   0.952   0.961   0.958
    41.75    60.75    2004   0.962   0.963   0.966   0.966
    41.75    60.75    2005   0.952   0.954   0.957   0.957
    41.75    60.75    2006   0.959   0.959   0.963   0.961
    41.75    60.75    2007   0.965   0.963   0.966   0.964
    41.75    60.75    2008   0.967   0.954   0.967   0.954
    41.75    60.75    2009   0.961   0.961   0.962   0.962
    41.75    60.75    2010   0.889   0.849   0.910   0.903
   142.25   -20.25    1980   0.477   0.468   0.707   0.634
   142.25   -20.25    1981   0.469   0.462   0.671   0.597
   142.25   -20.25    1982   0.473   0.467   0.704   0.631
   142.25   -20.25    1983   0.466   0.460   0.712   0.627
   142.25   -20.25    1984   0.467   0.459   0.753   0.603
   142.25   -20.25    1985   0.460   0.454   0.816   0.649
   142.25   -20.25    1986   0.446   0.444   0.720   0.641
   142.25   -20.25    1987   0.463   0.457   0.714   0.648
   142.25   -20.25    1988   0.465   0.461   0.774   0.690
   142.25   -20.25    1989   0.486   0.478   0.671   0.610
   142.25   -20.25    1990   0.480   0.471   0.775   0.684
   142.25   -20.25    1991   0.460   0.455   0.880   0.714
   142.25   -20.25    1992   0.460   0.455   0.758   0.673
   142.25   -20.25    1993   0.486   0.475   0.703   0.617
   142.25   -20.25    1994   0.455   0.451   0.689   0.613
   142.25   -20.25    1995   0.466   0.459   0.809   0.727
   142.25   -20.25    1996   0.484   0.474   0.754   0.667
   142.25   -20.25    1997   0.480   0.471   0.819   0.732
   142.25   -20.25    1998   0.521   0.507   0.829   0.752
   142.25   -20.25    1999   0.526   0.509   0.861   0.694
   142.25   -20.25    2000   0.547   0.526   0.811   0.716
   142.25   -20.25    2001   0.518   0.502   0.850   0.772
   142.25   -20.25    2002   0.466   0.458   0.879   0.800
   142.25   -20.25    2003   0.492   0.484   0.813   0.730
   142.25   -20.25    2004   0.483   0.475   0.792   0.710
   142.25   -20.25    2005   0.469   0.461   0.875   0.814
   142.25   -20.25    2006   0.532   0.514   0.827   0.761
   142.25   -20.25    2007   0.508   0.495   0.849   0.776
   142.25   -20.25    2008   0.479   0.470   0.941   0.756
   142.25   -20.25    2009   0.543   0.523   0.891   0.833
   142.25   -20.25    2010   0.549   0.529   0.806   0.704
