      Lon      Lat    Year    TeWW    TeSW   TeWWi   TeSWi
    41.75    60.75    1980   0.205   0.239   0.205   0.239
    41.75    60.75    1981   0.148   0.198   0.153   0.204
    41.75    60.75    1982   0.269   0.307   0.282   0.318
    41.75    60.75    1983   0.212   0.253   0.212   0.253
    41.75    60.75    1984   0.154   0.218   0.155   0.218
    41.75    60.75    1985   0.237   0.293   0.237   0.293
    41.75    60.75    1986   0.194   0.234   0.194   0.234
    41.75    60.75    1987   0.193   0.237   0.193   0.237
    41.75    60.75    1988   0.176   0.210   0.176   0.210
    41.75    60.75    1989   0.164   0.203   0.164   0.203
    41.75    60.75    1990   0.258   0.282   0.258   0.282
    41.75    60.75    1991   0.209   0.241   0.212   0.243
    41.75    60.75    1992   0.278   0.314   0.289   0.325
    41.75    60.75    1993   0.294   0.330   0.293   0.330
    41.75    60.75    1994   0.274   0.294   0.283   0.303
    41.75    60.75    1995   0.136   0.185   0.136   0.186
    41.75    60.75    1996   0.282   0.332   0.283   0.337
    41.75    60.75    1997   0.224   0.261   0.236   0.272
    41.75    60.75    1998   0.227   0.277   0.227   0.277
    41.75    60.75    1999   0.169   0.224   0.175   0.230
    41.75    60.75    2000   0.199   0.267   0.209   0.274
    41.75    60.75    2001   0.260   0.314   0.300   0.344
    41.75    60.75    2002   0.283   0.329   0.296   0.338
    41.75    60.75    2003   0.244   0.281   0.269   0.297
    41.75    60.75    2004   0.304   0.338   0.326   0.354
    41.75    60.75    2005   0.244   0.297   0.255   0.305
    41.75    60.75    2006   0.284   0.303   0.288   0.307
    41.75    60.75    2007   0.287   0.325   0.293   0.331
    41.75    60.75    2008   0.333   0.379   0.333   0.379
    41.75    60.75    2009   0.303   0.345   0.304   0.346
    41.75    60.75    2010   0.156   0.187   0.168   0.220
   142.25   -20.25    1980   0.032   0.023   0.170   0.111
   142.25   -20.25    1981   0.040   0.029   0.149   0.091
   142.25   -20.25    1982   0.030   0.019   0.151   0.095
   142.25   -20.25    1983   0.025   0.019   0.133   0.079
   142.25   -20.25    1984   0.042   0.025   0.210   0.096
   142.25   -20.25    1985   0.028   0.020   0.243   0.101
   142.25   -20.25    1986   0.021   0.012   0.171   0.108
   142.25   -20.25    1987   0.026   0.019   0.154   0.101
   142.25   -20.25    1988   0.022   0.014   0.182   0.108
   142.25   -20.25    1989   0.044   0.032   0.137   0.088
   142.25   -20.25    1990   0.044   0.032   0.215   0.135
   142.25   -20.25    1991   0.041   0.021   0.328   0.160
   142.25   -20.25    1992   0.030   0.022   0.193   0.125
   142.25   -20.25    1993   0.045   0.032   0.191   0.114
   142.25   -20.25    1994   0.030   0.021   0.149   0.090
   142.25   -20.25    1995   0.029   0.021   0.253   0.163
   142.25   -20.25    1996   0.036   0.025   0.214   0.133
   142.25   -20.25    1997   0.050   0.034   0.285   0.179
   142.25   -20.25    1998   0.057   0.043   0.283   0.185
   142.25   -20.25    1999   0.064   0.047   0.323   0.142
   142.25   -20.25    2000   0.084   0.063   0.305   0.190
   142.25   -20.25    2001   0.068   0.052   0.373   0.255
   142.25   -20.25    2002   0.032   0.021   0.358   0.231
   142.25   -20.25    2003   0.047   0.032   0.275   0.170
   142.25   -20.25    2004   0.045   0.033   0.272   0.175
   142.25   -20.25    2005   0.034   0.024   0.392   0.278
   142.25   -20.25    2006   0.065   0.048   0.276   0.185
   142.25   -20.25    2007   0.060   0.045   0.382   0.260
   142.25   -20.25    2008   0.062   0.044   0.466   0.236
   142.25   -20.25    2009   0.098   0.073   0.445   0.314
   142.25   -20.25    2010   0.104   0.082   0.365   0.218
