      Lon      Lat    Year    TeWW    TeSW   TeWWi   TeSWi
    41.75    60.75    1980   0.965   0.965   0.966   0.965
    41.75    60.75    1981   0.943   0.941   0.951   0.952
    41.75    60.75    1982   0.964   0.961   0.968   0.964
    41.75    60.75    1983   0.964   0.964   0.964   0.964
    41.75    60.75    1984   0.957   0.958   0.957   0.958
    41.75    60.75    1985   0.969   0.969   0.969   0.969
    41.75    60.75    1986   0.964   0.963   0.965   0.964
    41.75    60.75    1987   0.966   0.966   0.966   0.966
    41.75    60.75    1988   0.956   0.956   0.957   0.956
    41.75    60.75    1989   0.946   0.947   0.946   0.947
    41.75    60.75    1990   0.968   0.960   0.968   0.960
    41.75    60.75    1991   0.961   0.961   0.964   0.963
    41.75    60.75    1992   0.962   0.961   0.967   0.967
    41.75    60.75    1993   0.969   0.961   0.969   0.961
    41.75    60.75    1994   0.964   0.963   0.967   0.966
    41.75    60.75    1995   0.943   0.949   0.944   0.951
    41.75    60.75    1996   0.968   0.967   0.968   0.968
    41.75    60.75    1997   0.950   0.950   0.963   0.962
    41.75    60.75    1998   0.964   0.964   0.964   0.964
    41.75    60.75    1999   0.926   0.938   0.947   0.952
    41.75    60.75    2000   0.957   0.960   0.963   0.964
    41.75    60.75    2001   0.952   0.955   0.967   0.966
    41.75    60.75    2002   0.960   0.962   0.966   0.966
    41.75    60.75    2003   0.962   0.961   0.968   0.966
    41.75    60.75    2004   0.967   0.967   0.969   0.969
    41.75    60.75    2005   0.961   0.961   0.966   0.966
    41.75    60.75    2006   0.965   0.964   0.967   0.967
    41.75    60.75    2007   0.968   0.968   0.969   0.969
    41.75    60.75    2008   0.969   0.956   0.969   0.956
    41.75    60.75    2009   0.967   0.966   0.968   0.967
    41.75    60.75    2010   0.928   0.897   0.949   0.946
   142.25   -20.25    1980   0.547   0.512   0.896   0.807
   142.25   -20.25    1981   0.558   0.526   0.861   0.737
   142.25   -20.25    1982   0.547   0.520   0.897   0.814
   142.25   -20.25    1983   0.515   0.494   0.916   0.849
   142.25   -20.25    1984   0.552   0.518   0.916   0.744
   142.25   -20.25    1985   0.520   0.498   0.949   0.863
   142.25   -20.25    1986   0.492   0.477   0.911   0.840
   142.25   -20.25    1987   0.522   0.501   0.882   0.829
   142.25   -20.25    1988   0.513   0.496   0.931   0.890
   142.25   -20.25    1989   0.565   0.538   0.853   0.761
   142.25   -20.25    1990   0.552   0.496   0.938   0.902
   142.25   -20.25    1991   0.545   0.516   0.954   0.876
   142.25   -20.25    1992   0.513   0.494   0.928   0.879
   142.25   -20.25    1993   0.575   0.540   0.874   0.784
   142.25   -20.25    1994   0.518   0.499   0.887   0.769
   142.25   -20.25    1995   0.527   0.503   0.944   0.916
   142.25   -20.25    1996   0.559   0.524   0.922   0.849
   142.25   -20.25    1997   0.570   0.536   0.942   0.911
   142.25   -20.25    1998   0.622   0.583   0.947   0.921
   142.25   -20.25    1999   0.640   0.591   0.957   0.881
   142.25   -20.25    2000   0.657   0.598   0.945   0.909
   142.25   -20.25    2001   0.624   0.583   0.953   0.936
   142.25   -20.25    2002   0.529   0.499   0.958   0.946
   142.25   -20.25    2003   0.572   0.543   0.938   0.901
   142.25   -20.25    2004   0.564   0.534   0.928   0.888
   142.25   -20.25    2005   0.533   0.509   0.956   0.945
   142.25   -20.25    2006   0.639   0.591   0.941   0.915
   142.25   -20.25    2007   0.611   0.568   0.946   0.923
   142.25   -20.25    2008   0.571   0.538   0.965   0.924
   142.25   -20.25    2009   0.698   0.638   0.950   0.934
   142.25   -20.25    2010   0.681   0.631   0.935   0.895
