      Lon      Lat    Year    TeWW    TeSW   TeWWi   TeSWi
    41.75    60.75    1980   0.276   0.312   0.280   0.315
    41.75    60.75    1981   0.196   0.260   0.212   0.281
    41.75    60.75    1982   0.319   0.364   0.344   0.383
    41.75    60.75    1983   0.283   0.330   0.294   0.330
    41.75    60.75    1984   0.227   0.300   0.229   0.302
    41.75    60.75    1985   0.299   0.374   0.301   0.376
    41.75    60.75    1986   0.277   0.324   0.280   0.327
    41.75    60.75    1987   0.267   0.316   0.266   0.315
    41.75    60.75    1988   0.239   0.287   0.244   0.289
    41.75    60.75    1989   0.230   0.287   0.233   0.288
    41.75    60.75    1990   0.335   0.373   0.336   0.374
    41.75    60.75    1991   0.293   0.321   0.306   0.331
    41.75    60.75    1992   0.333   0.383   0.370   0.415
    41.75    60.75    1993   0.370   0.416   0.370   0.416
    41.75    60.75    1994   0.336   0.366   0.360   0.384
    41.75    60.75    1995   0.195   0.259   0.200   0.264
    41.75    60.75    1996   0.357   0.420   0.362   0.427
    41.75    60.75    1997   0.279   0.323   0.315   0.352
    41.75    60.75    1998   0.297   0.357   0.297   0.357
    41.75    60.75    1999   0.219   0.297   0.245   0.326
    41.75    60.75    2000   0.252   0.339   0.276   0.362
    41.75    60.75    2001   0.320   0.389   0.383   0.442
    41.75    60.75    2002   0.340   0.410   0.374   0.437
    41.75    60.75    2003   0.300   0.353   0.343   0.385
    41.75    60.75    2004   0.365   0.408   0.396   0.431
    41.75    60.75    2005   0.308   0.374   0.345   0.400
    41.75    60.75    2006   0.354   0.389   0.378   0.407
    41.75    60.75    2007   0.365   0.417   0.377   0.428
    41.75    60.75    2008   0.418   0.474   0.418   0.474
    41.75    60.75    2009   0.388   0.439   0.401   0.447
    41.75    60.75    2010   0.202   0.250   0.242   0.323
   142.25   -20.25    1980   0.068   0.051   0.425   0.397
   142.25   -20.25    1981   0.077   0.054   0.359   0.323
   142.25   -20.25    1982   0.059   0.041   0.401   0.355
   142.25   -20.25    1983   0.051   0.041   0.328   0.322
   142.25   -20.25    1984   0.083   0.053   0.408   0.333
   142.25   -20.25    1985   0.050   0.044   0.352   0.341
   142.25   -20.25    1986   0.032   0.024   0.385   0.341
   142.25   -20.25    1987   0.051   0.039   0.359   0.304
   142.25   -20.25    1988   0.039   0.030   0.358   0.336
   142.25   -20.25    1989   0.083   0.069   0.333   0.299
   142.25   -20.25    1990   0.092   0.074   0.394   0.396
   142.25   -20.25    1991   0.072   0.042   0.349   0.362
   142.25   -20.25    1992   0.057   0.046   0.383   0.373
   142.25   -20.25    1993   0.098   0.069   0.434   0.360
   142.25   -20.25    1994   0.060   0.046   0.399   0.341
   142.25   -20.25    1995   0.060   0.046   0.389   0.396
   142.25   -20.25    1996   0.081   0.057   0.434   0.391
   142.25   -20.25    1997   0.103   0.073   0.446   0.425
   142.25   -20.25    1998   0.107   0.092   0.454   0.451
   142.25   -20.25    1999   0.126   0.100   0.461   0.419
   142.25   -20.25    2000   0.164   0.143   0.486   0.481
   142.25   -20.25    2001   0.156   0.123   0.541   0.527
   142.25   -20.25    2002   0.076   0.050   0.451   0.456
   142.25   -20.25    2003   0.086   0.063   0.421   0.403
   142.25   -20.25    2004   0.094   0.067   0.468   0.440
   142.25   -20.25    2005   0.070   0.054   0.427   0.435
   142.25   -20.25    2006   0.125   0.105   0.440   0.431
   142.25   -20.25    2007   0.125   0.091   0.473   0.468
   142.25   -20.25    2008   0.128   0.095   0.445   0.493
   142.25   -20.25    2009   0.186   0.146   0.522   0.497
   142.25   -20.25    2010   0.189   0.165   0.544   0.507
