      Lon      Lat    Year    TeWW    TeSW   TeWWi   TeSWi
    41.75    60.75    1980   0.192   0.230   0.192   0.230
    41.75    60.75    1981   0.135   0.190   0.138   0.196
    41.75    60.75    1982   0.240   0.277   0.253   0.287
    41.75    60.75    1983   0.193   0.238   0.193   0.238
    41.75    60.75    1984   0.148   0.213   0.148   0.213
    41.75    60.75    1985   0.211   0.271   0.211   0.271
    41.75    60.75    1986   0.184   0.224   0.184   0.225
    41.75    60.75    1987   0.182   0.227   0.182   0.227
    41.75    60.75    1988   0.158   0.204   0.158   0.204
    41.75    60.75    1989   0.157   0.205   0.157   0.205
    41.75    60.75    1990   0.231   0.253   0.231   0.253
    41.75    60.75    1991   0.196   0.243   0.198   0.245
    41.75    60.75    1992   0.250   0.290   0.262   0.299
    41.75    60.75    1993   0.263   0.298   0.263   0.298
    41.75    60.75    1994   0.245   0.271   0.254   0.279
    41.75    60.75    1995   0.136   0.181   0.136   0.181
    41.75    60.75    1996   0.261   0.306   0.263   0.310
    41.75    60.75    1997   0.205   0.246   0.217   0.256
    41.75    60.75    1998   0.205   0.253   0.205   0.253
    41.75    60.75    1999   0.157   0.221   0.161   0.227
    41.75    60.75    2000   0.183   0.260   0.190   0.267
    41.75    60.75    2001   0.233   0.295   0.269   0.324
    41.75    60.75    2002   0.256   0.307   0.265   0.314
    41.75    60.75    2003   0.220   0.263   0.240   0.275
    41.75    60.75    2004   0.274   0.311   0.291   0.322
    41.75    60.75    2005   0.217   0.279   0.223   0.284
    41.75    60.75    2006   0.263   0.287   0.268   0.291
    41.75    60.75    2007   0.262   0.307   0.268   0.312
    41.75    60.75    2008   0.304   0.345   0.304   0.345
    41.75    60.75    2009   0.277   0.323   0.279   0.324
    41.75    60.75    2010   0.144   0.178   0.153   0.210
   142.25   -20.25    1980   0.030   0.021   0.160   0.104
   142.25   -20.25    1981   0.038   0.028   0.140   0.083
   142.25   -20.25    1982   0.028   0.018   0.142   0.088
   142.25   -20.25    1983   0.023   0.018   0.123   0.072
   142.25   -20.25    1984   0.039   0.024   0.197   0.088
   142.25   -20.25    1985   0.027   0.018   0.221   0.093
   142.25   -20.25    1986   0.021   0.010   0.161   0.099
   142.25   -20.25    1987   0.025   0.017   0.146   0.093
   142.25   -20.25    1988   0.020   0.013   0.170   0.099
   142.25   -20.25    1989   0.040   0.030   0.128   0.080
   142.25   -20.25    1990   0.041   0.029   0.203   0.125
   142.25   -20.25    1991   0.038   0.020   0.322   0.150
   142.25   -20.25    1992   0.027   0.021   0.180   0.115
   142.25   -20.25    1993   0.043   0.030   0.181   0.107
   142.25   -20.25    1994   0.029   0.019   0.139   0.084
   142.25   -20.25    1995   0.027   0.019   0.240   0.152
   142.25   -20.25    1996   0.034   0.022   0.205   0.123
   142.25   -20.25    1997   0.047   0.032   0.269   0.168
   142.25   -20.25    1998   0.053   0.040   0.267   0.173
   142.25   -20.25    1999   0.059   0.044   0.302   0.133
   142.25   -20.25    2000   0.081   0.059   0.290   0.179
   142.25   -20.25    2001   0.064   0.049   0.363   0.242
   142.25   -20.25    2002   0.030   0.019   0.338   0.216
   142.25   -20.25    2003   0.044   0.030   0.260   0.158
   142.25   -20.25    2004   0.042   0.031   0.256   0.164
   142.25   -20.25    2005   0.031   0.022   0.380   0.262
   142.25   -20.25    2006   0.060   0.045   0.262   0.173
   142.25   -20.25    2007   0.058   0.042   0.370   0.246
   142.25   -20.25    2008   0.059   0.042   0.407   0.223
   142.25   -20.25    2009   0.092   0.070   0.441   0.298
   142.25   -20.25    2010   0.096   0.078   0.348   0.206
