      Lon      Lat    Year    TeWW    TeSW   TeWWi   TeSWi
    41.75    60.75    1980   0.203   0.234   0.203   0.234
    41.75    60.75    1981   0.143   0.190   0.148   0.196
    41.75    60.75    1982   0.256   0.287   0.274   0.300
    41.75    60.75    1983   0.210   0.247   0.210   0.247
    41.75    60.75    1984   0.153   0.212   0.153   0.212
    41.75    60.75    1985   0.230   0.279   0.230   0.279
    41.75    60.75    1986   0.193   0.228   0.193   0.228
    41.75    60.75    1987   0.191   0.230   0.191   0.230
    41.75    60.75    1988   0.171   0.202   0.171   0.202
    41.75    60.75    1989   0.160   0.196   0.160   0.196
    41.75    60.75    1990   0.243   0.262   0.243   0.262
    41.75    60.75    1991   0.207   0.234   0.209   0.236
    41.75    60.75    1992   0.273   0.306   0.287   0.318
    41.75    60.75    1993   0.289   0.319   0.289   0.319
    41.75    60.75    1994   0.265   0.279   0.277   0.290
    41.75    60.75    1995   0.135   0.181   0.135   0.181
    41.75    60.75    1996   0.281   0.325   0.284   0.330
    41.75    60.75    1997   0.217   0.249   0.232   0.262
    41.75    60.75    1998   0.222   0.269   0.223   0.269
    41.75    60.75    1999   0.164   0.215   0.171   0.222
    41.75    60.75    2000   0.193   0.257   0.203   0.266
    41.75    60.75    2001   0.246   0.297   0.294   0.334
    41.75    60.75    2002   0.272   0.314   0.286   0.324
    41.75    60.75    2003   0.237   0.272   0.264   0.290
    41.75    60.75    2004   0.289   0.324   0.316   0.343
    41.75    60.75    2005   0.233   0.288   0.243   0.295
    41.75    60.75    2006   0.281   0.299   0.288   0.304
    41.75    60.75    2007   0.284   0.319   0.291   0.325
    41.75    60.75    2008   0.328   0.359   0.329   0.360
    41.75    60.75    2009   0.300   0.337   0.301   0.339
    41.75    60.75    2010   0.154   0.183   0.165   0.216
   142.25   -20.25    1980   0.041   0.023   0.191   0.111
   142.25   -20.25    1981   0.046   0.028   0.152   0.091
   142.25   -20.25    1982   0.034   0.020   0.171   0.095
   142.25   -20.25    1983   0.028   0.017   0.169   0.079
   142.25   -20.25    1984   0.046   0.029   0.207   0.096
   142.25   -20.25    1985   0.032   0.019   0.232   0.104
   142.25   -20.25    1986   0.024   0.013   0.195   0.110
   142.25   -20.25    1987   0.033   0.019   0.179   0.101
   142.25   -20.25    1988   0.028   0.014   0.195   0.110
   142.25   -20.25    1989   0.046   0.032   0.156   0.088
   142.25   -20.25    1990   0.042   0.031   0.222   0.142
   142.25   -20.25    1991   0.041   0.025   0.261   0.159
   142.25   -20.25    1992   0.035   0.022   0.201   0.125
   142.25   -20.25    1993   0.051   0.033   0.212   0.114
   142.25   -20.25    1994   0.038   0.024   0.175   0.091
   142.25   -20.25    1995   0.037   0.021   0.236   0.166
   142.25   -20.25    1996   0.046   0.025   0.223   0.134
   142.25   -20.25    1997   0.052   0.037   0.258   0.181
   142.25   -20.25    1998   0.059   0.040   0.264   0.192
   142.25   -20.25    1999   0.065   0.045   0.283   0.146
   142.25   -20.25    2000   0.081   0.060   0.284   0.199
   142.25   -20.25    2001   0.075   0.053   0.325   0.250
   142.25   -20.25    2002   0.042   0.021   0.303   0.224
   142.25   -20.25    2003   0.049   0.034   0.256   0.175
   142.25   -20.25    2004   0.053   0.033   0.260   0.178
   142.25   -20.25    2005   0.047   0.024   0.310   0.248
   142.25   -20.25    2006   0.066   0.045   0.252   0.183
   142.25   -20.25    2007   0.069   0.045   0.311   0.236
   142.25   -20.25    2008   0.067   0.049   0.370   0.230
   142.25   -20.25    2009   0.102   0.072   0.334   0.266
   142.25   -20.25    2010   0.101   0.077   0.322   0.221
